Category: All categories

Month,ozempic: (Switzerland)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,0
2007-06,0
2007-07,0
2007-08,0
2007-09,0
2007-10,0
2007-11,0
2007-12,0
2008-01,0
2008-02,0
2008-03,0
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,0
2009-04,0
2009-05,0
2009-06,0
2009-07,0
2009-08,0
2009-09,0
2009-10,0
2009-11,0
2009-12,0
2010-01,0
2010-02,0
2010-03,0
2010-04,0
2010-05,0
2010-06,0
2010-07,0
2010-08,0
2010-09,0
2010-10,0
2010-11,0
2010-12,0
2011-01,0
2011-02,0
2011-03,0
2011-04,0
2011-05,0
2011-06,0
2011-07,0
2011-08,0
2011-09,0
2011-10,0
2011-11,0
2011-12,0
2012-01,0
2012-02,0
2012-03,0
2012-04,0
2012-05,0
2012-06,0
2012-07,0
2012-08,0
2012-09,0
2012-10,0
2012-11,0
2012-12,0
2013-01,0
2013-02,0
2013-03,0
2013-04,0
2013-05,0
2013-06,0
2013-07,0
2013-08,0
2013-09,0
2013-10,0
2013-11,0
2013-12,0
2014-01,0
2014-02,0
2014-03,0
2014-04,0
2014-05,0
2014-06,0
2014-07,0
2014-08,0
2014-09,0
2014-10,0
2014-11,0
2014-12,0
2015-01,0
2015-02,0
2015-03,0
2015-04,0
2015-05,0
2015-06,0
2015-07,0
2015-08,0
2015-09,0
2015-10,0
2015-11,0
2015-12,0
2016-01,0
2016-02,0
2016-03,0
2016-04,0
2016-05,0
2016-06,0
2016-07,0
2016-08,0
2016-09,0
2016-10,0
2016-11,0
2016-12,0
2017-01,0
2017-02,0
2017-03,0
2017-04,0
2017-05,0
2017-06,0
2017-07,0
2017-08,0
2017-09,0
2017-10,0
2017-11,0
2017-12,0
2018-01,0
2018-02,0
2018-03,0
2018-04,0
2018-05,0
2018-06,0
2018-07,0
2018-08,0
2018-09,3
2018-10,2
2018-11,5
2018-12,4
2019-01,4
2019-02,3
2019-03,5
2019-04,3
2019-05,6
2019-06,5
2019-07,8
2019-08,6
2019-09,9
2019-10,7
2019-11,5
2019-12,9
2020-01,7
2020-02,8
2020-03,7
2020-04,8
2020-05,7
2020-06,13
2020-07,11
2020-08,9
2020-09,11
2020-10,11
2020-11,10
2020-12,8
2021-01,13
2021-02,13
2021-03,15
2021-04,15
2021-05,19
2021-06,23
2021-07,17
2021-08,18
2021-09,24
2021-10,20
2021-11,20
2021-12,20
2022-01,21
2022-02,25
2022-03,29
2022-04,26
2022-05,31
2022-06,36
2022-07,36
2022-08,33
2022-09,36
2022-10,42
2022-11,50
2022-12,50
2023-01,56
2023-02,65
2023-03,83
2023-04,72
2023-05,83
2023-06,93
2023-07,74
2023-08,68
2023-09,86
2023-10,92
2023-11,94
2023-12,70
2024-01,68
2024-02,72
2024-03,83
2024-04,74
2024-05,93
2024-06,73
2024-07,91
2024-08,69
2024-09,73
2024-10,72
2024-11,70
2024-12,67
2025-01,100
2025-02,90
2025-03,85
2025-04,86
